Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,HR_BB
1910,25816,81543,92773,20332,15996,2815,1160,361,9575,7858,7419,4415,791,,3020,,3265,,0.249,0.004680531
1911,26079,82261,93827,21914,16812,3265,1323,514,11161,9318,7838,4798,844,,2884,,3403,,0.266,0.006635426
1912,25999,82039,93204,22039,16889,3353,1355,442,11165,9345,7683,4627,717,,2765,,3385,,0.269,0.005709709
1913,27032,81216,91726,21021,16215,3070,1266,470,9960,8349,7267,9283,702,,2541,,3250,,0.259,0.006533858
1914,40881,122587,138909,31129,24055,4625,1739,710,14530,12223,11143,14757,991,,4188,,4573,1370,0.254,0.006584438
1915,40218,121704,138280,30460,23524,4532,1769,635,14213,11981,11120,14020,1015,,4441,,4106,2046,0.25,0.005896883
1916,27710,81923,92468,20285,15766,2995,1141,383,8889,7518,7076,9534,640,,2829,,2753,836,0.248,0.005290859
1917,27069,82055,92623,20391,16009,2909,1138,335,8950,7557,6910,8680,579,,3079,,2413,,0.249,0.004565588
1918,21134,67315,75971,17085,13642,2323,885,235,7382,6199,5749,5925,461,,2446,,1989,,0.254,0.003827985
1919,23701,74671,83902,19624,15207,2922,1048,447,8668,7424,5982,6849,531,,2718,,2077,,0.263,0.006590782
1920,26426,84178,94601,23275,17771,3609,1265,630,10762,9342,6820,7247,561,,3042,,1720,1563,0.276,0.008189157
1921,26867,85172,95556,24782,18500,3981,1364,937,11928,10710,6847,6959,551,,2986,,1487,1317,0.291,0.011980106
1922,27246,85346,96155,24613,18366,3944,1248,1055,12057,10787,7253,6950,598,,2958,,1451,1165,0.288,0.013457319
1923,27491,85229,96130,24218,18174,3922,1142,980,11872,10668,7563,7021,605,,2733,,1567,1258,0.284,0.012530687
1924,27577,84666,95288,24271,18119,4081,1175,896,11716,10605,7364,6637,553,,2705,,1501,1247,0.287,0.01148291
1925,27936,85432,96226,24914,18237,4337,1171,1169,12593,11422,7744,6665,495,,2555,,1388,1103,0.292,0.014841241
1926,28214,83752,95139,23505,17343,4142,1157,863,11443,10448,7703,6777,484,,3200,,1275,500,0.281,0.011211432
1927,27912,84461,95571,23960,17740,4148,1150,922,11748,10758,7445,6889,482,,3183,,1437,511,0.284,0.011885732
1928,27858,84480,95584,23736,17282,4223,1138,1093,11650,10738,7665,7099,454,,2985,,1269,482,0.281,0.014124914
1929,27837,85210,96322,24642,17645,4482,1166,1349,12749,11794,7992,6982,407,,2713,,1329,492,0.289,0.017244465
1930,28089,86571,97239,25597,17994,4756,1282,1565,13695,12744,7654,7934,408,,2606,,1080,423,0.296,0.019901573
1931,27761,86624,96121,24046,17399,4508,1070,1069,11891,11049,7679,7894,381,,1437,,1088,452,0.278,0.013578052
1932,27788,87182,96577,24106,17097,4579,1072,1358,12114,11287,7549,7878,367,,1479,,990,410,0.277,0.017123979
1933,27601,85222,94615,22969,16990,3945,967,1067,10989,10209,7344,7444,351,,1698,1105,860,376,0.27,0.013718532
1934,27622,85911,95563,23962,17422,4314,882,1344,11999,11219,7855,8432,342,,1455,968,909,315,0.279,0.017346636
1935,27383,86437,96202,24074,17497,4265,987,1325,12026,11156,7834,8004,382,,1549,910,883,329,0.279,0.016893399
1936,27836,87638,97884,24863,18049,4471,979,1364,12846,11930,8418,8235,413,,1415,1003,963,320,0.284,0.017178192
1937,27628,85963,96148,23769,17126,4216,997,1430,12070,11208,8443,9001,322,,1420,956,1021,337,0.277,0.018580598
1938,27191,85013,95347,23293,16837,4046,935,1475,11969,11237,8632,8335,348,,1354,1038,896,325,0.274,0.019236287
1939,28165,84879,95902,23371,16871,4139,916,1445,11876,11040,8478,8501,353,,2192,1945,957,345,0.275,0.01891906
1940,28157,86003,95900,23002,16401,4101,929,1571,11568,10702,8273,9049,358,,1266,1825,953,333,0.267,0.020414793
1941,28284,85854,96484,22531,16375,3958,867,1331,11168,10325,8886,8826,312,,1432,1869,882,323,0.262,0.017279431
1942,27591,83731,93936,21176,15905,3477,723,1071,9995,9187,8393,8325,339,,1473,1756,961,390,0.253,0.014203114
1943,27669,84701,95072,21467,16338,3467,757,905,9687,8954,8361,8546,327,,1683,1881,1010,449,0.253,0.011883658
1944,28266,85665,95637,22307,16812,3653,808,1034,10350,9579,7930,8185,349,,1693,1853,920,339,0.26,0.013345379
1945,28066,84447,94788,21977,16745,3497,728,1007,10286,9499,8299,8045,361,,1681,1710,978,373,0.26,0.013180283
1946,29481,84333,95071,21555,15978,3579,783,1215,9953,9205,8800,9696,316,,1622,1865,884,340,0.256,0.016278789
1947,29217,84436,95376,22003,16066,3568,804,1565,10827,10110,9217,9157,317,,1406,1938,760,333,0.261,0.02078933
1948,29704,84411,95792,22234,16159,3686,834,1555,11327,10589,9623,9016,342,,1416,1934,812,288,0.263,0.02062471
1949,29453,84380,96190,22168,16101,3602,761,1704,11425,10642,10027,8951,375,,1408,2132,730,299,0.263,0.022590781
1950,29310,84823,96463,22559,15979,3714,793,2073,12013,11269,9955,9554,436,,1249,2226,650,231,0.266,0.027541219
1951,29810,85065,95998,22191,16030,3582,716,1863,11268,10524,9244,9335,449,,1240,2146,866,604,0.261,0.024600555
1952,29597,84195,94808,21272,15506,3388,677,1701,10349,9671,8777,10380,482,,1354,1966,771,628,0.253,0.023044097
1953,30369,84997,95411,22459,16045,3593,745,2076,11426,10714,8682,10213,487,,1245,2029,668,520,0.264,0.027759949
1954,30382,83936,95536,21908,15727,3455,789,1937,10827,10168,9032,10215,441,795,1332,1959,695,527,0.261,0.026274739
1955,31041,83590,95025,21610,15435,3251,700,2224,11068,10381,9044,10803,506,698,1187,1940,694,536,0.259,0.030554907
1956,31418,83856,95231,21653,15295,3339,725,2294,11031,10330,8997,11505,481,644,1253,1984,719,495,0.258,0.031706542
1957,31513,84906,95386,21865,15595,3396,672,2202,10636,10023,8167,11948,511,687,1115,1970,767,558,0.258,0.030181748
1958,31718,83827,94143,21621,15334,3392,655,2240,10578,9956,8127,12225,499,644,1046,2062,741,516,0.258,0.031284042
1959,31642,84294,94717,21636,15317,3478,591,2250,10853,10177,8184,12604,496,616,1127,1837,853,506,0.257,0.03138513
1960,32103,84014,94771,21434,15206,3442,658,2128,10664,9968,8384,12815,488,692,1193,1914,923,547,0.255,0.02988806
1961,36209,97032,109568,25066,17607,3975,754,2730,12942,12062,9897,14947,573,761,1305,2232,1046,599,0.258,0.033258208
1962,41457,110688,124540,28521,20354,4313,853,3001,14461,13546,10936,17567,709,846,1361,2487,1348,701,0.258,0.032226888
1963,40602,109814,122336,27043,19450,4098,791,2704,12780,11904,9591,18773,714,769,1448,2256,1236,763,0.246,0.029700904
1964,41205,110464,122980,27669,19877,4270,760,2762,13124,12233,9621,19212,694,739,1462,2394,1176,719,0.25,0.03026783
1965,42219,109739,122749,26952,19278,4199,787,2688,12946,12012,10036,19283,720,766,1488,2363,1449,786,0.246,0.029716105
1966,41587,109467,121677,27207,19524,4120,820,2743,12900,11998,9331,18805,682,742,1455,2355,1455,926,0.249,0.030255234
1967,41712,109205,121839,26464,19291,4082,792,2299,12210,11265,9665,19413,751,738,1480,2245,1373,940,0.242,0.025603617
1968,40822,108622,120816,25710,19149,3869,697,1995,11109,10309,9156,19143,778,753,1507,2217,1515,931,0.237,0.022295734
1969,49929,131287,148181,32581,23773,4840,849,3119,15850,14662,13429,22473,882,914,1669,2900,1850,1118,0.248,0.028663591
1970,50415,132140,149312,33555,23964,5235,927,3429,16880,15762,13727,22374,825,990,1630,3020,1908,1078,0.254,0.031239182
1971,48809,130544,146690,32547,23945,4931,808,2863,15073,14077,12536,20956,821,987,1802,3092,1765,1039,0.249,0.026125123
1972,46786,124828,139947,30434,22502,4652,746,2534,13706,12750,11727,20718,751,883,1758,2797,1807,1105,0.244,0.024339641
