Season,hr_bin,count
1995,0-9,73
1995,10-19,73
1995,20-29,38
1995,30-39,17
1995,40-49,3
1995,51+,1
1996,0-9,64
1996,10-19,81
1996,20-29,40
1996,30-39,26
1996,40-49,15
1996,51+,2
1997,0-9,72
1997,10-19,78
1997,20-29,49
1997,30-39,19
1997,40-49,10
1997,51+,2
1998,0-9,77
1998,10-19,74
1998,20-29,51
1998,30-39,20
1998,40-49,9
1998,51+,4
1999,0-9,62
1999,10-19,72
1999,20-29,57
1999,30-39,32
1999,40-49,11
1999,51+,2
2000,0-9,61
2000,10-19,85
2000,20-29,53
2000,30-39,30
2000,40-49,15
2000,51+,1
2001,0-9,65
2001,10-19,86
2001,20-29,49
2001,30-39,29
2001,40-49,8
2001,51+,4
2002,0-9,74
2002,10-19,89
2002,20-29,53
2002,30-39,20
2002,40-49,6
2002,51+,2
2003,0-9,62
2003,10-19,99
2003,20-29,55
2003,30-39,20
2003,40-49,10
2004,0-9,66
2004,10-19,88
2004,20-29,55
2004,30-39,28
2004,40-49,9
2005,0-9,81
2005,10-19,97
2005,20-29,49
2005,30-39,18
2005,40-49,8
2005,51+,1
2006,0-9,70
2006,10-19,91
2006,20-29,55
2006,30-39,23
2006,40-49,9
2006,51+,2
2007,0-9,72
2007,10-19,89
2007,20-29,60
2007,30-39,21
2007,40-49,3
2007,51+,2
2008,0-9,76
2008,10-19,80
2008,20-29,62
2008,30-39,26
2008,40-49,2
2009,0-9,74
2009,10-19,92
2009,20-29,56
2009,30-39,25
2009,40-49,5
2010,0-9,78
2010,10-19,84
2010,20-29,58
2010,30-39,16
2010,40-49,1
2010,51+,1
2011,0-9,78
2011,10-19,88
2011,20-29,44
2011,30-39,22
2011,40-49,2
2012,0-9,59
2012,10-19,86
2012,20-29,51
2012,30-39,21
2012,40-49,6
2013,0-9,64
2013,10-19,104
2013,20-29,55
2013,30-39,12
2013,40-49,1
2013,51+,1
2014,0-9,90
2014,10-19,92
2014,20-29,45
2014,30-39,10
2014,40-49,1
2015,0-9,75
2015,10-19,110
2015,20-29,43
2015,30-39,11
2015,40-49,9
2016,0-9,51
2016,10-19,73
2016,20-29,70
2016,30-39,30
2016,40-49,8
2017,0-9,36
2017,10-19,95
2017,20-29,75
2017,30-39,36
2017,40-49,3
2017,51+,2
